Wed Dec  1 11:30:42 2021 Fold 3, Epoch 8, lr: 0.0002169, train loss: 0.19125, valid loss: 0.19408, acc: 94.7819, auc: 0.910993, auc_20: 0.910993.
Wed Dec  1 11:36:42 2021 Fold 3, Epoch 9, lr: 0.0001910, train loss: 0.18421, valid loss: 0.18237, acc: 94.8738, auc: 0.916892, auc_20: 0.916892.
Wed Dec  1 11:42:41 2021 Fold 3, Epoch 10, lr: 0.0001638, train loss: 0.17541, valid loss: 0.18394, acc: 94.8279, auc: 0.920990, auc_20: 0.920990.
Wed Dec  1 11:48:41 2021 Fold 3, Epoch 11, lr: 0.0001362, train loss: 0.17044, valid loss: 0.18130, acc: 95.0115, auc: 0.919882, auc_20: 0.919882.
Wed Dec  1 11:54:40 2021 Fold 3, Epoch 12, lr: 0.0001090, train loss: 0.16311, valid loss: 0.18574, acc: 94.9656, auc: 0.913672, auc_20: 0.913672.
Wed Dec  1 12:00:39 2021 Fold 3, Epoch 13, lr: 0.0000831, train loss: 0.15593, valid loss: 0.18814, acc: 94.6595, auc: 0.918676, auc_20: 0.918676.
Wed Dec  1 12:06:39 2021 Fold 3, Epoch 14, lr: 0.0000596, train loss: 0.14945, valid loss: 0.18710, acc: 94.9809, auc: 0.920207, auc_20: 0.920207.
Wed Dec  1 12:12:34 2021 Fold 3, Epoch 15, lr: 0.0000391, train loss: 0.14255, valid loss: 0.19121, acc: 94.6901, auc: 0.913883, auc_20: 0.913883.
Wed Dec  1 12:18:30 2021 Fold 3, Epoch 16, lr: 0.0000225, train loss: 0.14027, valid loss: 0.19100, acc: 94.7207, auc: 0.918676, auc_20: 0.918676.
Wed Dec  1 12:24:29 2021 Fold 3, Epoch 17, lr: 0.0000101, train loss: 0.13590, valid loss: 0.19111, acc: 94.9197, auc: 0.917910, auc_20: 0.917910.
Wed Dec  1 12:30:19 2021 Fold 3, Epoch 18, lr: 0.0000026, train loss: 0.13304, valid loss: 0.18936, acc: 94.9350, auc: 0.916068, auc_20: 0.916068.
Wed Dec  1 12:36:11 2021 Fold 4, Epoch 1, lr: 0.0000300, train loss: 0.68624, valid loss: 0.28929, acc: 93.4233, auc: 0.787709, auc_20: 0.787709.
Wed Dec  1 12:42:10 2021 Fold 4, Epoch 2, lr: 0.0003000, train loss: 0.28069, valid loss: 0.19642, acc: 94.5577, auc: 0.879932, auc_20: 0.879932.
Wed Dec  1 12:48:11 2021 Fold 4, Epoch 3, lr: 0.0002974, train loss: 0.24046, valid loss: 0.18879, acc: 94.6957, auc: 0.886400, auc_20: 0.886400.
Wed Dec  1 12:54:11 2021 Fold 4, Epoch 4, lr: 0.0002899, train loss: 0.22415, valid loss: 0.19875, acc: 94.2971, auc: 0.888489, auc_20: 0.888489.
Wed Dec  1 13:00:03 2021 Fold 4, Epoch 5, lr: 0.0002775, train loss: 0.21518, valid loss: 0.18492, acc: 94.6190, auc: 0.902908, auc_20: 0.902908.
Wed Dec  1 13:06:02 2021 Fold 4, Epoch 6, lr: 0.0002609, train loss: 0.20722, valid loss: 0.19863, acc: 93.8985, auc: 0.903651, auc_20: 0.903651.
Wed Dec  1 13:11:58 2021 Fold 4, Epoch 7, lr: 0.0002404, train loss: 0.20127, valid loss: 0.17404, acc: 94.7110, auc: 0.918882, auc_20: 0.918882.
Wed Dec  1 13:17:47 2021 Fold 4, Epoch 8, lr: 0.0002169, train loss: 0.19389, valid loss: 0.18063, acc: 94.4964, auc: 0.914162, auc_20: 0.914162.
Wed Dec  1 13:23:44 2021 Fold 4, Epoch 9, lr: 0.0001910, train loss: 0.18572, valid loss: 0.17869, acc: 94.8797, auc: 0.891720, auc_20: 0.891720.
Wed Dec  1 13:29:43 2021 Fold 4, Epoch 10, lr: 0.0001638, train loss: 0.18106, valid loss: 0.17612, acc: 94.5730, auc: 0.911924, auc_20: 0.911924.
Wed Dec  1 13:35:42 2021 Fold 4, Epoch 11, lr: 0.0001362, train loss: 0.16895, valid loss: 0.17872, acc: 94.7110, auc: 0.922002, auc_20: 0.922002.
Wed Dec  1 13:41:41 2021 Fold 4, Epoch 12, lr: 0.0001090, train loss: 0.16254, valid loss: 0.17778, acc: 94.5271, auc: 0.924895, auc_20: 0.924895.
Wed Dec  1 13:47:40 2021 Fold 4, Epoch 13, lr: 0.0000831, train loss: 0.15512, valid loss: 0.18192, acc: 94.1745, auc: 0.923010, auc_20: 0.923010.
Wed Dec  1 13:53:39 2021 Fold 4, Epoch 14, lr: 0.0000596, train loss: 0.14793, valid loss: 0.18313, acc: 94.3584, auc: 0.923314, auc_20: 0.923314.
Wed Dec  1 13:59:39 2021 Fold 4, Epoch 15, lr: 0.0000391, train loss: 0.14374, valid loss: 0.18303, acc: 94.6497, auc: 0.921748, auc_20: 0.921748.
Wed Dec  1 14:05:38 2021 Fold 4, Epoch 16, lr: 0.0000225, train loss: 0.13729, valid loss: 0.18324, acc: 94.7417, auc: 0.925356, auc_20: 0.925356.
Wed Dec  1 14:11:34 2021 Fold 4, Epoch 17, lr: 0.0000101, train loss: 0.13662, valid loss: 0.18496, acc: 94.7417, auc: 0.922908, auc_20: 0.922908.
Wed Dec  1 14:17:24 2021 Fold 4, Epoch 18, lr: 0.0000026, train loss: 0.13673, valid loss: 0.18348, acc: 94.6497, auc: 0.924416, auc_20: 0.924416.
